No.,Lims No.,物质名称(英文),物质名称(中文),列入日期,EC 号码,CAS 号码,可能用途,Possible Applications,Natural textiles,Synthetic textiles,Leather,Metal,Plastic|polymers|foam,Wood,Paper,Ceramic,Glass,Dye|Pigment|Ink|Paint,Adhesives|Sealants,Battery,Electronic components,*Remarks,Organic|Inorganic,Chemical Classification
58,58,Arsenic acid,砷酸,12/19/2011,231-901-9,7778-39-4,主要用于去除陶瓷玻璃熔体的气泡（澄清剂），用于生产层压印刷电路板。次要使用为用于制造半导体和作为实验室试剂,Mainly used to remove gas bubbles from ceramic glass melt (fining agent) and in the production of laminated printed circuit boards. To lesser extent the substance is also used in the manufacture of semiconductors and as laboratory agent.,N,N,N,N,N,N,N,N,N,N,N,N,N*,"Arsenic acid used for printed circuit boards will be present in the final boards in the form of
elemental arsenic (As) on the surface of the copper foil.",Inorganic,As compounds
59,60,Bis(2-methoxyethyl) ether,二乙二醇二甲醚,12/19/2011,203-924-4,111-96-6,主要用作各种各样的应用中的反应溶剂或过程化学品; 它也可以用来作为电池的电解质的溶剂，也可能用于其它产品如密封剂、粘合剂、燃料、汽车护理产品 ；用于锂原电池。,"Used primarily as a reaction solvent or process chemical in a wide variety of applications. It is also used as solvent for battery electrolytes, and possibly in other products such as sealants, adhesives, fuels and automotive care products. Used in Lithium primary batteries.",N,N,Y ,N,Y ,N,N,N,N,Y ,Y ,Y ,Y ,,Organic,Glycol ether
60,61,Calcium arsenate,砷酸钙,12/19/2011,231-904-5,7778-44-1,存在于复杂的原料当中（其本身是冶金工艺的副产品）; 它们主要用于铜和铅的精炼; 该物质被用于从熔融金属中沉淀镍和提取三氧化二砷。然而，大部分的物质似乎是作为废弃物被处理,"Present in complex raw materials (which themselves are by-products from metallurgical processes) that are used mainly for copper and lead refining. The substance is used to precipitate nickel from the molten metal and to manufacture diarsenic trioxide. However, most of the substance seems to be disposed of as waste.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,"As, Ca "
61,61,Bis(2-methoxyethyl) phthalate,邻苯二甲酸二甲氧乙酯,12/19/2011,204-212-6,117-82-8,没有邻苯二甲酸二甲氧乙酯的注册信息提交至ECHA。因此，该物质似乎不可能被制造或进口到欧盟超过1吨/年。在过去的主要用途是作为增塑剂用在聚合物料、涂料、油漆、清漆和印刷油墨,"No registration for bis(2-methoxyethyl) phthalate has been submitted to ECHA. Hence, the substance seems not to be manufactured in or imported to the EU in quantities above 1 tonne/year. Main uses in the past were as plasticiser in polymeric materials and paints, lacquers and varnishes, including printing inks.",N,N,N,N,Y ,N,N,N,N,Y ,Y ,N,N,,Organic,Phthalates
62,62,Dichromium tris(chromate),铬酸铬,12/19/2011,246-356-2,24613-89-6,主要应用于航空/航天，钢铁和铝涂层行业的金属表面处理,"Mainly used in mixtures for metal surface treatment in the aeronautic/aerospace, steel and aluminium coating sectors.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,Cr compounds
63,64,"Lead diazide, Lead azide",叠氮化铅,12/19/2011,236-542-1,13424-46-9,主要用作民用和军事用途的炸药的引爆器或助推器; 用作烟火装置的引爆剂,Mainly used as initiator or booster in detonators for both civilian and military uses and as initiator in pyrotechnic devices.,N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,Pb compounds
64,64,"Formaldehyde, oligomeric reaction products with aniline (technical MDA)",甲醛与苯胺的共聚物,12/19/2011,500-036-1,25214-70-4,主要用于制造其他物质; 次要用途是作为核电站中的离子交换树脂; 作为环氧树脂的硬化剂，例如用于生产辊、管、模具,"Mainly used for manufacture of other substances. Minor uses are as ion exchange resins in nuclear power plants, as hardener for epoxy resins, e.g. for the production of rolls, pipes and moulds",N,N,N,N,Y ,N,N,N,N,N,N,N,N,,Organic,Aromatic amines  
65,65,Lead dipicrate,苦味酸铅,12/19/2011,229-335-2,6477-64-1,没有苦味酸铅的注册信息提交至ECHA; 该物质是爆炸物（如铅叠氮化物和斯蒂芬酸铅）; 它可连同两个上述铅化合物少量用于炸药的混合物,No registration for lead dipicrate has been submitted to ECHA. The substance is an explosive like lead diazide and lead styphnate. It may be used in low amounts in detonator mixtures together with the two other mentioned lead compounds.,N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,Pb compounds
66,66,Lead styphnate,"2,4,6-三硝基苯二酚铅",12/19/2011,239-290-0,15245-44-0,主要用作小口径步枪和弹药得引物。其他常见的用途是用于烟火弹药，火药驱动装置和民用炸药,"Mainly used as a primer for small calibre and rifle ammunition. Other common uses are in ammunition pyrotechnics, powder actuated devices and detonators for civilian use.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,Pb compounds
67,68,Pentazinc chromate octahydroxide,鋅黃 (CI 颜料黄 36),12/19/2011,256-418-0,49663-84-5,主要用作汽车涂装和航空/航天领域的涂料,Mainly used in coatings in the vehicle coating and aeronautic / aerospace sectors.,N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,"Cr, Zn"
68,68,"N,N-dimethylacetamide","N,N-二甲基乙酰胺",12/19/2011,204-826-4,127-19-5,用作溶剂，主要是在生产服装和其它应用的纤维; 也用作试剂，并存在产品，如工业涂料、聚酰亚胺薄膜、脱漆剂和油墨清洗剂 ,"Used as solvent, mainly in the manufacture of various substances and in the production of fibres for clothing and other applications. Also used as reagent, and in products such as industrial coatings, polyimide films, paint strippers and ink removers. ",N,Y ,N,N,N,N,N,N,N,N,Y ,N,N,,Organic,Amide
69,70,Potassium hydroxyoctaoxodizincatedichromate,氢氧化铬酸锌钾,12/19/2011,234-329-8,11103-86-9,主要用于航空/航天应用、钢铁、铝卷材涂料和车辆的涂料,"Mainly used in coatings in the aeronautic/ aerospace, steel and aluminium coil coating and vehicle coating sectors.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,"Cr, Zn, K"
70,70,Phenolphthalein,酚酞,12/19/2011,201-004-7,77-09-8,主要用作实验室试剂（pH指示剂溶液）; 次要用途是用于药物制剂和某些特殊应用（如pH值试纸，隐形墨水）,"Mainly used as laboratory agent (pH indicator solutions). Minor uses are in pharmaceutical preparations and in some special applications (e.g. pH-indicator paper, disappearing inks).",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Benzene Derivatives 
71,71,Trilead diarsenate,砷酸铅,12/19/2011,222-979-5,3687-31-8,存在于复杂的原料，用于制造铜、铅和一系列贵金属，; 在冶金细化过程，原料中的砷酸铅转化为砷酸钙和三氧化二砷。而大多数的钙砷酸似乎作为废物处理,"Present in complex raw materials for manufacture of copper, lead and a range of precious metals. The trilead diarsenate contained in the raw materials is in the metallurgical refinement process transformed to calcium arsenate and diarsenic trioxide. Whereas most of the calcium arsenate appears to be disposed of as waste the diarsenic trioxide is used further.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,"Pb, As"
72,72,"1,2-bis(2-methoxyethoxy)ethane (TEGDME; triglyme)",三甘醇二甲醚,6/18/2012,203-977-3,112-49-2,主要用作制造工业化学品的溶剂或加工助剂;  还可用于制动液和机动车辆的维修;用作锂电池中的电解液,Mainly used as a solvent or as a processing aid in the manufacture and formulation of industrial chemicals. It is used  Minor uses in brake fluids and repair of motor vehicles. It can also be used as an electrolyte solvent in lithium batteries.,N,N,N,N,N,N,N,N,N,N,N,Y ,N,,Organic,Glycol ether
73,73,"1,2-dimethoxyethane; ethylene glycol dimethyl ether (EGDME)",乙二醇二甲醚,6/18/2012,203-794-9,110-71-4,主要用作制造工业化学品的溶剂或加工助剂，包括用作锂电池中的电解液; 用于锂原电池；水溶剂基油墨的成分,"Mainly used as a solvent or as a processing aid in the manufacture and formulation of industrial chemicals, including use as an electrolyte solvent in lithium batteries. Used in Lithium. As a constituent within flexo gravure water-solvent based inks",N,N,N,N,N,N,N,N,N,Y ,N,Y ,N,,Organic,Glycol ether
74,74,Diboron trioxide,三氧化二硼,6/18/2012,215-125-8,1303-86-2,用于多种应用，例如，用于玻璃和玻璃纤维、玻璃料、陶瓷、阻燃剂、催化剂、工业流体、冶金、核、电气设备、粘合剂、油墨/涂料、胶片显影溶液、洗涤剂和清洁剂、化学试剂、杀生剂和杀虫剂;用作生产玻璃的中间体,"Used in a multitude of applications, e.g. in glass and glass fibres, frits, ceramics, flame retardants, catalysts, industrial fluids, metallurgy, nuclear, electrical equipment, adhesives, inks/paints, film developing solutions, detergents and cleaners, reagent chemicals, biocides and insecticides.Intermediate in production of glass",Y ,Y ,Y ,Y ,Y ,Y ,Y ,Y ,N,Y ,Y ,N,Y ,,Inorganic,B compounds
75,75,Formamide,甲酰胺,6/18/2012,200-842-0,75-12-7,主要用作制造农用化学品、医药和工业化学品的中间体;  次要用途为溶剂、作实验室试剂用于质量控制(在法医实验室、医院、制药公司、食品和饮料制造商和研究实验室);  该物质似乎也可以用作增塑剂,"Mainly used as an intermediate in the manufacture of agrochemicals, pharmaceuticals and industrial chemicals. Minor uses as a solvent, as a laboratory reagent for quality control purposes in forensic laboratories, hospitals, pharmaceutical companies, food and drinks manufacturers and research laboratories. The substance seems to also be used as a plasticiser. ",N,Y ,N,N,Y,Y*,Y ,N,N,Y*,Y ,N,N,Ingredient for wood stain,Organic,Amide
76,76,Lead(II) bis(methanesulfonate),甲基磺酸铅,6/18/2012,401-750-5,17570-76-2,主要用于电镀工艺（包括电解及电解）在电子元件（如印刷电路板),Mainly used in plating processes (both electrolytic and electroless) for electronic components (such as printed circuit boards).,N,N,N,N,N,N,N,N,N,N,N,N,Y ,,Inorganic,"Pb, S"
77,77,"1,3,5-Tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione (TGIC)",异氰尿酸三缩水甘油酯,6/18/2012,219-514-3,2451-62-9,主要用作树脂和涂料的硬化剂。; 还可用于印刷电路板工业的油墨、电绝缘材料、树脂成型系统、层压板、丝网印刷涂料、工具、粘合剂、衬里材料和塑料稳定剂,"Mainly used as a hardener in resins and coatings. Also used in inks for the printed circuit board industry, electrical insulation material, resin moulding systems, laminated sheeting, silk screen printing coatings, tools, adhesives, lining materials and stabilisers for plastics.",N,N,N,Y*,Y ,N,N,N,N,Y ,Y ,N,Y ,"Weather-resistant powder coatings on steel garden furniture, car parts, metal fencing, window and door frames",Organic,Triazine
78,79,"1,3,5-tris[(2S and 2R)-2,3-epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione (β-TGIC)",替罗昔隆,6/18/2012,423-400-0,59653-74-6,在欧盟主要用作阻焊油墨; 也可用于电绝缘材料、树脂成型系统、层压板、丝网印刷涂料、工具、粘合剂、衬材料和塑料稳定剂.,"Mainly used as a solder mask ink in the EU. Also used in electrical insulation material, resin moulding systems, laminated sheeting, silk screen printing, coatings, tools, adhesives, lining materials and stabilisers for plastics.",N,N,N,Y*,Y ,N,N,N,N,Y ,Y ,N,Y ,"Weather-resistant powder coatings on steel garden furniture, car parts, metal fencing, window and door frames",Organic,Triazine
79,80,"N,N,N',N'-tetramethyl-4,4'-methylenedianiline (Michler’s base)","4,4'-（对二甲氨基）二苯基甲烷（米氏碱）",6/18/2012,202-959-2,101-61-1,用作生产染料和其他物质的的中间体,Used as an intermediate in the manufacture of dyes and other substances.,Y ,Y ,Y ,N,N,N,Y,N,N,Y,N,N,N,,Organic,Benzene Derivatives
80,80,"4,4'-bis(dimethylamino)benzophenone (Michler’s ketone)","4,4'-二（N,N-二甲氨基）二苯甲酮（米氏酮）",6/18/2012,202-027-5,90-94-8         ,用作制造三苯基甲烷染料和其他物质的中间体; 其它用途包括作染料和颜料的添加剂（光敏剂）和用于干膜产品,"Used as an intermediate in the manufacture of triphenylmethane dyes and other substances. Further potential uses include use as an additive (photosensitiser) in dyes and pigments, in dry film products",Y ,Y ,Y ,N,N,N,Y ,N,N,Y ,N,N,N,,Organic,Benzene Derivatives 
81,81,"[4-[[4-anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene]cyclohexa-2,5-dien-1-ylidene] dimethylammonium chloride (C.I. Basic Blue 26) [with ≥ 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)]",碱性蓝26,6/18/2012,219-943-6,2580-56-5,用于油墨、清洁剂和涂料的配方; 用于染色纸、包装、纺织品、塑料制品和其他类型的物品; 它也可用于在诊断和分析应用,"Used in the formulation of inks, cleaners, and coatings, as well as for dyeing paper, packaging, textiles, plastic products, and other types of articles. It is also used in diagnostic and analytical applications.",Y ,Y ,Y,N,Y ,N,Y,N,N,Y,N,N,N,,Organic,Benzene Derivatives 
82,82,"[4-[4,4'-bis(dimethylamino) benzhydrylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride (C.I. Basic Violet 3) [with ≥ 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)]",结晶紫,6/18/2012,208-953-6,548-62-9,主要用于打印机墨盒和圆珠笔的纸张着色和油墨; 也可用于脱水植物的染色、作为标识用于增加液体中的能见度和临床实验室使用,"Used mainly for paper colouring and inks supplied in printer cartridges and ball pens. Further uses include staining of dried plants, use as a marker for increasing the visibility of liquids, staining in microbial and clinical laboratories. ",Y ,Y ,Y ,N,Y ,N,Y ,N,N,Y ,N,N,N,,Organic,Benzene Derivatives 
83,83,"4,4'-bis(dimethylamino)-4''-(methylamino)trityl alcohol [with ≥ 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)]","α,α -二[（二甲氨基）苯基]-4-甲氨基苯甲醇",6/18/2012,209-218-2,561-41-1,用于书写油墨和其他油墨以及用于各种材料的染色,"Used in the formulation of writing inks and potentially other inks, as well as for dyeing a variety of materials.",Y ,Y ,Y ,N,N,N,N,N,N,Y ,N,N,N,,Organic,Benzene Derivatives
84,84,"a,a-Bis[4-(dimethylamino)phenyl]-4 (phenylamino)naphthalene-1-methanol (C.I. Solvent Blue 4) [with = 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)] ",溶剂蓝4,6/18/2012,229-851-8,6786-83-0,主要用于印刷和书写墨水，纸张的染色，及其它混合物（如风挡玻璃清洗剂）,"Mainly used in the formulation of printing and writing inks, for dyeing paper and in mixtures such as windscreen washing agents.",Y ,Y ,Y ,N,Y ,Y ,Y ,N,N,Y ,N,N,N,,Organic,Benzene Derivatives 
85,85,Bis(pentabromophenyl) ether (decabromodiphenyl ether; DecaBDE),十溴二苯醚,12/19/2012,214-604-9,1163-19-5,用作塑料和纺织品的阻燃剂,"Used as flame retardants for various types of plastic, textiles.",Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,,Organic,Halogenated diphenyl ethers
86,86,Pentacosafluorotridecanoic acid,全氟十三酸,12/19/2012,276-745-2,72629-94-8,用于含氟聚合物的生产; 用作服装、皮革、食品保鲜膜和地毯，家具中的防水处理剂; 用于涂料、油漆、造纸和灭火泡沫,"Used in production of fluoropolymers. It is used as water repellent finishing for clothing, leather, food wrap, carpet furniture. Also used in coating, paint, paper and fire-fighting foam. ",Y*,Y*,Y*,N,N,N,Y,N,N,Y,N,N,N,Textiles and leather: only applicable to those with water/oil/stain repellent finishing,Organic,Perfluorinated compounds
87,87,Tricosafluorododecanoic acid,全氟十二烷酸,12/19/2012,206-203-2,307-55-1,用于生产含氟聚合物; 用作服装、皮革、食品保鲜膜、地毯，家具的防水处理剂; 还用于涂料、油漆、造纸和灭火泡沫,"Use in production of fluoropolymers. It is used as water repellent finishing for clothing, leather, food wrap, carpet furniture. Also used in coating, paint, paper and fire-fighting foam.",Y*,Y*,Y*,N,N,N,Y,N,N,Y,N,N,N,Textiles and leather: only applicable to those with water/oil/stain repellent finishing,Organic,Perfluorinated compounds
88,88,Henicosafluoroundecanoic acid,全氟十一烷酸 ,12/19/2012,218-165-4,2058-94-8,用于含氟聚合物的生产; 用作服装、皮革、食品保鲜膜和地毯，家具中的防水处理剂; 用于涂料、油漆、造纸和灭火泡沫,"Used in production of fluoropolymers. It is used as water repellent finishing for clothing, leather, food wrap, carpet furniture. Also used in coating, paint, paper and fire-fighting foam. ",Y*,Y*,Y*,N,N,N,Y,N,N,Y,N,N,N,Textiles and leather: only applicable to those with water/oil/stain repellent finishing,Organic,Perfluorinated compounds
89,89,Heptacosafluorotetradecanoic acid,全氟代十四酸,12/19/2012,206-803-4,376-06-7,用于生产含氟聚合物; 用作服装、皮革、食品保鲜膜和地毯，家具的防水处理剂; 还用于涂料、油漆、造纸和灭火泡沫,"Used in production of fluoropolymers. It is used as water repellent finishing for clothing, leather, food wrap, carpet furniture. Also used in coating, paint, paper and fire-fighting foam. ",Y*,Y*,Y*,N,N,N,Y,N,N,Y,N,N,N,Textiles and leather: only applicable to those with water/oil/stain repellent finishing,Organic,Perfluorinated compounds
90,90,"4-(1,1,3,3-tetramethylbutyl)phenol, ethoxylated
[covering well-defined substances and UVCB substances, polymers and homologues]
",辛基酚聚醚-9，包括界定明确的物质以及UVCB物质、聚合物和同系物,12/19/2012,-,-,它被用作乳化剂作乳化聚合。它被用作纺织和皮革助剂，农药制剂;兽医产品和水基油漆和建造行业例如用于发泡剂混凝土，金属加工液,"It is used as an emulsifier for emulsion polymerization. It is used as textile and leather auxiliaries, pesticide formulations; veterinary products and water-based paints and used in construction industry e.g. foaming agent for concrete, metalworking fluids.",Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,,Organic,Alkylphenol ethoxylates
91,91,"4-Nonylphenol, branched and linear
[substances with a linear and/or branched alkyl chain with a carbon number of 9 covalently bound in position 4 to phenol, covering also UVCB- and well-defined substances which include any of the individual isomers or a combination thereof]
", 分支或线性的壬基酚，含有线性或分支、共价绑定苯酚的9个碳烷基链的物质，包括UVCB物质以及任何含有独立或组合的界定明确的同分异构体的物质,12/19/2012,-,-,涂料，油墨或工业应用;压加敏感粘合剂在轮胎和橡胶制品的生產;中间体在生产乙氧基化物和塑料的稳定剂;用作胶粘剂和涂料的材料; 壬基酚聚醚可降解为壬基酚,"Industrial application of coatings, or inks; pressure-sensitive adhesive in the preparation of tires and rubber products; intermediate in the production of ethoxylates and plastic stabiliser; the formulation of adhesives, paints. Nonylphenol ethoxylates can be degraded to 4-nonylphenol.
",Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,,Organic,Alkylphenol
92,92,"Diazene-1,2-dicarboxamide (C,C'-azodi(formamide))",偶氮二甲酰胺,12/19/2012,204-650-8,123-77-3,用作橡胶和塑料的发泡剂，如EVA、热塑性塑料、泡沫、供消费者使用的空气清新剂、合成化学品; 用作催化剂、绝缘材料、结构材料、水泥填料、添加剂;,"Used as blowing agent in rubber, plastic e.g., EVA, thermoplastics, foam, air freshener for consumer use, synthesis of chemicals. In addition, it is used as catalyst, insulating material, construction material, cement filler, additive.",N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Azo compounds
93,93,"Cyclohexane-1,2-dicarboxylic anhydride [1]
cis-cyclohexane-1,2-dicarboxylic anhydride [2]
trans-cyclohexane-1,2-dicarboxylic anhydride [3]
[The individual cis- [2] and trans- [3] isomer substances and all possible combinations of the cis- and trans-isomers [1] are covered
by this entry].
","六氢邻苯二甲酸酐， c六氢-1,3-异苯并呋喃二酮 ，反-1,2-环己烷二羧酸酐",12/19/2012,"201-604-9, 
236-086-3, 
238-009-9","85-42-7, 
13149-00-3, 
14166-21-3",用作环氧树脂、环氧树脂胶、油漆喷漆、清漆、粘合剂、结合剂、粘度调节剂和指甲漆的硬化剂; 制造的聚酯、醇酸树脂和增塑剂; 用作热塑性聚合物的链交联剂; 其他用途为用作驱虫剂，防锈剂，工业用化学合成的中间体,"Used as hardeners for epoxy resins, epoxy glues, paints lacquers, varnishes, adhesives, binding agents, viscosity adjustors, nail lacquer. In manufacturing of polyester and alkyd resins and plasticisers, chain cross-linkers for thermoplastic polymers. Other uses as Insect repellent, rush inhibitors, industrial use as intermediate in chemical synthesis.",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Anhydrides
94,94,"Hexahydromethylphthalic anhydride [1], Hexahydro-4-methylphthalic anhydride [2], Hexahydro-1-methylphthalic anhydride [3], Hexahydro-3-methylphthalic anhydride [4] [The individual isomers [2], [3] and [4] (including their cis- and trans- stereo isomeric forms) and all possible combinations of the isomers [1] are covered by this entry]",甲基六氢苯酐、4-甲基六氢苯酐、甲基六氢化邻苯二甲酸酐、3-甲基六氢苯二甲酯酐,12/19/2012,"247-094-1, 
243-072-0,
256-356-4,
260-566-1","25550-51-0, 
19438-60-9, 
48122-14-1,
57110-29-9",用作环氧树脂的硬化剂; 用于生产聚酯、醇酸树脂和增塑剂;用作热塑性聚合物的链交联剂 ; 用于涂料，油漆和清漆,"Hardeners for epoxy resins and manufacture of polyester and alkyd resins and plasticisers, chain cross-linkers for thermoplastic polymers. Used in paint, lacquers and varnishes",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Anhydrides
95,95,Methoxyacetic acid,甲氧基乙酸,12/19/2012,210-894-6,625-45-6,用于各种清洁应用如洗涤剂、清洁和洗涤剂，例如地板/墙壁/工业区使用的洗涤剂、用于清洁车轮和轮胎的产品; 它也可用于pH值调节剂、防腐蚀产品和空气清新剂; 作为生产杀生物剂的原料。还用作燃料添加剂,"Used in various cleaning application such as detergents, cleaning and washing agents. For example, detergents for use on floor/wall/industrial area, cleaning of wheels and tyres. It is also used in pH-regulators, anti-corrosion products and air-fresheners. It is used as basic chemical for production of biocides. Other uses as additives for fuel.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Carboxylic acid
96,96,"1,2-Benzenedicarboxylic acid, dipentylester, branched and linear","支链和直链1,2-苯二羧二戊酯 /邻苯二甲酸戊基异戊酯",12/19/2012,284-032-2,84777-06-0,增塑剂,Used as plasticisers for plastics.,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Phthalates
97,97,Diisopentylphthalate ,邻苯二甲酸二异戊酯,12/19/2012,210-088-4,605-50-5,增塑剂; 用于制造推进剂和炸药,"Used as plasticisers for plastics, manufacture of propellants and explosives.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,,Organic,Phthalates
98,98,N-pentyl-isopentylphthalate,邻苯二甲酸正戊基异戊基酯,12/19/2012,-,776297-69-9,增塑剂,Used as plasticisers for plastics.,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Phthalates
99,99,"1,2-Diethoxyethane",乙二醇二乙醚,12/19/2012,211-076-1,629-14-1,用作油漆、油墨和清洁剂的溶剂; 非溶剂的使用包括液压和制动液、防冰剂和化学中间体,"Used as solvents in paints, inks, cleaning fluids; non-solvent uses in hydraulic and brake fluids, anti-icing agents and chemical intermediates. ",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Glycol ether
100,100,"N,N-dimethylformamide","N,N-二甲基甲酰胺",12/19/2012,200-679-5,68-12-2,用作涂料、胶粘剂、胶水、溶剂、墨水、染料、涂料、清漆、粘合剂;  用在生产聚氨酯合成革、聚丙烯腈、聚氨酯和聚氯乙烯(PVC)、弹性体、服装纤维; 也可用于布料清洗剂;  有机化学用作试剂和催化剂; 此外还可用于生产印刷电路板(PCB)，电分配设备,"Used as coating, mastics and glues, solvents, ink, dyes, paint, varnishes, adhesive. It is used in production of polyurethane as synthetic leather, polyacrylonitrile, polyurethane and polyvinylchloride, elastomers, clothing fibre production, cleaning agent for textiles. It is used as a reagent and catalyst in organic synthesis. Besides it used in manufacturing of printed circuit boards and electrical allocation equipment. ",N,Y*,N,N,Y,N,N,N,N,Y,Y,N,Y,Synthetic textiles: Can be found in synthetic leather,Organic,Amide 
101,101,Dibutyltin dichloride (DBTC),二丁基二氯化锡,12/19/2012,211-670-0,683-18-1,用作电子产品和电缆的绝缘体、用于涂层玻璃、橡胶添加剂、聚氯乙烯塑料(PVC)稳定剂、生产聚氨酯和硅胶的催化劑、食品包装材料（玻璃纸包裹）的; 也可用于在纺织品处理。,"It is used as insulators in electronics and cable, coating for glass, additive in rubber, stabiliser in PVC plastics, catalyser in the production of polyurethanes and silicone, food wraps and food packaging (cellophane wrap). It is also used in textile finishing.",Y*,Y*,N,N,Y,N,N,N,N,N,Y,N,Y,DBTC may be found in textiles with plastisol print  and synthetic leather.,Inorganic,Organotin compounds
102,102,"Acetic acid, lead salt, basic",碱式乙酸铅,12/19/2012,257-175-3,51404-69-4,"用于制造电脑、电子及光学产品、电子设备; 
用于生产其他化学品; 用作实验室试剂和制剂配方;用于染料","Manufacture of computer, electronic and optical products, electrical equipment
Manufacturing of other chemicals, Use as laboratory reagent and formulation of preparations. Used in dyestuff
",N,N,N,N,N,N,N,N,N,Y,N,N,Y,,Inorganic,Pb compounds
103,103,Trilead bis(carbonate)dihydroxide,碱式碳酸铅,12/19/2012,215-290-6,1319-46-6,用于过氧化物的固化剂 （改进聚乙烯电缆的绝缘性）；用作PVC热稳定剂，用作尼龙增强渔网PVC纤维的成分；于各种漆颜料如外墙涂料颜料、陶瓷釉料、珠光颜料、感温油墨的变色元件、在虹彩塑料片材中的红色反射颜料、润滑脂组分、紫外光反射涂料的成分（以增加太阳能反射率）。它也被用在纸。它也可以用于冷火药的稳定剂和制造其他非金属矿物制品，如石膏，水泥,"Use in curing agent for peroxides to form improved polyethylene wire insulation. Used as heat stabilizer for PVC polymers, component of weighted nylon-reinforced fish nets made from PVC fibers. Used in various paint pigment such as exterior paint pigment, ceramic glazes, pearlescent pigment, colour-changing component of temperature-sensitive inks, red-reflecting pigment in iridescent plastic sheets, lubricating grease component, component of ultraviolet light reflective paints to increase solar reflectivity. It is also used in sheets. It also be used in cool gun-propellant stabilisers and manufacture of other non-metallic mineral products, e.g. plasters, cement. 
",N,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,,Inorganic,Pb compounds
104,104,Lead oxide sulfate,碱式硫酸铅,12/19/2012,234-853-7,12036-76-9,用于PVC加工;用于在铅稳定剂的塑料材料作为建筑物的内部结构部件,Used in PVC processing and used in lead-stabilised plastic materials in internal parts of building.,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Inorganic,"Pb, S"
105,105,[Phthalato(2-)]dioxotrilead,二盐基邻苯二甲酸铅,12/19/2012,273-688-5,69011-06-9,用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件),Used in PVC processing and used in lead-stabilised plastic materials in integral parts of building.,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Inorganic,Pb compounds
106,106,Dioxobis(stearato)trilead,双(十八酸基)二氧代三铅,12/19/2012,235-702-8,12578-12-0,用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件),Used in PVC processing and used in lead-stabilised plastic materials in internal parts of building.,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Inorganic,Pb compounds
107,107,"Fatty acids, C16-18, lead salts",C16-18-脂肪酸铅盐,12/19/2012,292-966-7,91031-62-8,用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件),Used in PVC processing and used in lead-stabilised plastic materials in internal parts of building.,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Inorganic,Pb compounds
108,108,Lead bis(tetrafluoroborate),氟硼酸铅,12/19/2012,237-486-0,13814-96-5,用于环氧树脂固化剂; 用于用铅处理金属物件的电镀液; 用于金属表面处理产品，包括电镀、电镀产品和用于生产聚酯的催化剂,"Used in curing agent for epoxy resins, electroplating solution for coating metal objects with lead, metal surface treatment products, including galvanic and electroplating products and catalyst in production of linear polyesters.        ",N,N,N,Y,Y,N,N,N,N,N,N,N,N,,Inorganic,"Pb, B, F"
109,109,Lead cyanamidate,氨基氰铅盐,12/19/2012,244-073-9,20837-86-9,防锈保护漆颜料,Used as a pigment in rust protective paint. ,N,N,N,N,N,N,N,N,N,Y,N,N,N,,Inorganic,Pb compounds
